Store Name,Record ID,Likelyname,retailername,group
CONNOLLY'S CORNER,348587,CONNOLLYS CORNER,CONNOLLYS CORNER,15
CORNER MARKET,452384,CORNER MARKET,CORNER MARKET,15
CROSSROADS MINI MART,453720,CROSSROADS MINI MART,CROSSROADS MINI MART,15
DENVER GALAXY FOOD CENTER,465308,DENVER GALAXY FOOD CENTER,DENVER GALAXY FOOD CENTER,15
EAST LINCOLN MINI MART,542497,EAST LINCOLN MINI MART,EAST LINCOLN MINI MART,15
ECKERD DRUGS  1249,511342,ECKERD,ECKERD DRUGS,15
EXPRESS #590,378016,EXPRESS,EXPRESS,15
FAMILY MART,680143,FAMILY MART,FAMILY MART,15
FIRST STOP & LAST STOP,449751,FIRST STOP LAST STOP,FIRST STOP LAST STOP,15
FOOD LION  126,310664,FOOD LION,FOOD LION,15
FRESH AIR GALAXY FOOD CT,608225,FRESH AIR GALAXY FOOD CT,FRESH AIR GALAXY FOOD CT,15
GASLAND USA #02,300465,GASLAND USA,GASLAND USA,15
HAMPTONS GROCERY AND SERVICE,600320,HAMPTONS GROCERY AND SERVICE,HAMPTONS GROCERY AND SERVICE,15
HILLTOP SUPERETTE,343496,HILLTOP SUPERETTE,HILLTOP SUPERETTE,15
HOMETOWN MARKET,693387,HOMETOWN MARKET,HOMETOWN MARKET,15
HOP N SACK,522624,HOP N SACK,HOP N SACK,15
HOYLES #2,502075,HOYLES,HOYLES,15
HOYLES GRO & SER STA #3,228944,HOYLES GRO SER STA,HOYLES GRO SER STA,15
J&K SALVAGE GROCERIES,643486,JK SALVAGE GROCERIES,JK SALVAGE GROCERIES,15
JANE'S GROCERY,523972,JANES GROCERY,JANES GROCERY,15
JC WEHUNT & SONS,647382,JC WEHUNT SONS,JC WEHUNT SONS,15
KOUNTRY KORNER,430116,KOUNTRY KORNER,KOUNTRY KORNER,15
LYNN'S STOP & SHOP,688130,LYNNS STOP SHOP,LYNNS STOP SHOP,15
LYNN'S STOP-N-SHOP,364028,LYNNS STOPNSHOP,LYNNS STOPNSHOP,15
MERITA OUTLET  883,548921,MERITA OUTLET,MERITA OUTLET,15
MIKE'S WESTSIDE MART,723987,MIKES WESTSIDE MART,MIKES WESTSIDE MART,15
MR  B'S FAMILY FOODMART,268597,MR BS FAMILY FOODMART,MR BS FAMILY FOODMART,15
OAK GROVE MARKET,309154,OAK GROVE MARKET,OAK GROVE MARKET,15
ONE STOP  113,311848,ONE STOP,ONE STOP,15
ONE STOP  117,293363,ONE STOP,ONE STOP,15
ONE STOP  119,247194,ONE STOP,ONE STOP,15
PARK-N-SHOP WONDER STORE #04,289773,PARKNSHOP WONDER STORE,PARKNSHOP WONDER STORE,15
PENNINGTON FAMILY #045,280892,PENNINGTON FAMILY,PENNINGTON FAMILY,15
PLANK ROAD GROCERY & SERVICE,580133,PLANK ROAD GROCERY SERVICE,PLANK ROAD GROCERY SERVICE,15
PROPST SUPERETTE #4,654754,PROPST SUPERETTE,PROPST SUPERETTE,15
RINCK'S GAS & GROCERY,615176,RINCKS GAS GROCERY,RINCKS GAS GROCERY,15
SAM'S SUPERETTE,425026,SAMS SUPERETTE,SAMS SUPERETTE,15
SMART SHOP #3 144,601708,SMART SHOP,SMART SHOP,15
SOUTH 321 MINI MART,621751,SOUTH MINI MART,SOUTH MINI MART,15
SOUTHSIDE FOOD MART,455397,SOUTHSIDE FOOD MART,SOUTHSIDE FOOD MART,15
TIMES TURNAROUND #15,610233,TIMES TURNAROUND,TIMES TURNAROUND,15
TIMES TURNAROUND #4,436760,TIMES TURNAROUND,TIMES TURNAROUND,15
TRIANGLE FOOD MART,393629,TRIANGLE FOOD MART,TRIANGLE FOOD MART,15
TRIPLE B ONE STOP,239378,TRIPLE B ONE STOP,TRIPLE B ONE STOP,15
WARLICK'S SHORT STOP,454529,WARLICKS SHORT STOP,WARLICKS SHORT STOP,15
WARLICKS SUPERETTE,625620,WARLICKS SUPERETTE,WARLICKS SUPERETTE,15
WESTPORT PETROLEUM WORLD #284,490674,WESTPORT PETROLEUM WORLD,WESTPORT PETROLEUM WORLD,15
WESTSIDE MARKET & BUTCHER SHOP,641882,WESTSIDE MARKET BUTCHER SHOP,WESTSIDE MARKET BUTCHER SHOP,15
WESTSIDE MARKET & BUTCHER SHOP,704645,WESTSIDE MARKET BUTCHER SHOP,WESTSIDE MARKET BUTCHER SHOP,15
WESTSIDE MART,335792,WESTSIDE MART,WESTSIDE MART,15
WINN DIXIE  2050,600934,WINN DIXIE,WINN DIXIE,15
WISE'S PANTRY #1,354919,WISES PANTRY,WISES PANTRY,15
WISE'S PANTRY #2,638940,WISES PANTRY,WISES PANTRY,15
AMOCO FOOD SHOP  201,513299,AMOCO FOOD SHOP,AMOCO FOOD SHOP,15
B&E EXXON CONVENIENCE STORE,522287,BE EXXON CONVENIENCE STORE,BE EXXON CONVENIENCE STORE,15
BI-LO  132,507298,BILO,BILO,15
BIG D 220,246603,BIG D,BIG D,15
BIG D 340,533268,BIG D,BIG D,15
BIG D FOOD STORE,439843,BIG D FOOD STORE,BIG D FOOD STORE,15
CLYDE'S PRODUCE,311108,CLYDES PRODUCE,CLYDES PRODUCE,15
COUNTRY LIVIN',647599,COUNTRY LIVIN,COUNTRY LIVIN,15
DON'S VILLAGE MARKET INC,630651,DONS VILLAGE MARKET,DONS VILLAGE MARKET,15
FOOD PALACE,437822,FOOD PALACE,FOOD PALACE,15
GEORGIA CAROLINA MTN STORE 208,228141,GEORGIA CAROLINA MTN STORE,GEORGIA CAROLINA MTN STORE,15
KC'S MOUNTAIN STORE,426495,KCS MOUNTAIN STORE,KCS MOUNTAIN STORE,15
MACON MEAT MKT & PRODUCE SEAFOOD,385837,MACON MEAT MKT PRODUCE SEAFOOD,MACON MEAT MKT PRODUCE SEAFOOD,15
MACON PLAZA BP 209,524189,MACON PLAZA BP,MACON PLAZA BP,15
MASON'S COUNTRY STORE,691798,MASONS COUNTRY STORE,MASONS COUNTRY STORE,15
MERITA OUTLET  832,420471,MERITA OUTLET,MERITA OUTLET,15
MILLS BIG D,316999,MILLS BIG D,MILLS BIG D,15
MORGAN'S GROCERY & TEXACO,562529,MORGANS GROCERY TEXACO,MORGANS GROCERY TEXACO,15
MOUNTAIN FRESH FINE FOODS,648627,MOUNTAIN FRESH FINE FOODS,MOUNTAIN FRESH FINE FOODS,15
PAUL'S PRODUCE,322091,PAULS PRODUCE,PAULS PRODUCE,15
PEAKS GROCERY,450789,PEAKS GROCERY,PEAKS GROCERY,15
RHODES SUPERETTE,713273,RHODES SUPERETTE,RHODES SUPERETTE,15
RICKMANS STORE,464289,RICKMANS STORE,RICKMANS STORE,15
RIDGECREST EXXON,672202,RIDGECREST EXXON,RIDGECREST EXXON,15
RIVERSIDE BP 204,651170,RIVERSIDE BP,RIVERSIDE BP,15
RUNWAY MARKET,455435,RUNWAY MARKET,RUNWAY MARKET,15
SCALY MOUNTAIN GENERAL STORE,260885,SCALY MOUNTAIN GENERAL STORE,SCALY MOUNTAIN GENERAL STORE,15
STUART GIFTS,580574,STUART GIFTS,STUART GIFTS,15
THE BARGAIN SHOP,334648,THE BARGAIN SHOP,THE BARGAIN SHOP,15
THE LITTLE COUNTRY STORE,617605,THE LITTLE COUNTRY STORE,THE LITTLE COUNTRY STORE,15
THE SISTER ACT THRIFT SHOPPE,249370,THE SISTER ACT THRIFT SHOPPE,THE SISTER ACT THRIFT SHOPPE,15
VILLAGE TRADER,434347,VILLAGE TRADER,VILLAGE TRADER,15
VILLAGE TRADER GENERAL STORE,543807,VILLAGE TRADER GENERAL STORE,VILLAGE TRADER GENERAL STORE,15
ALBUDDY'S PLACE,253170,ALBUDDYS PLACE,ALBUDDYS PLACE,15
BILLY GROCERY,568744,BILLY GROCERY,BILLY GROCERY,15
BRUSH CREEK BP,382739,BRUSH CREEK BP,BRUSH CREEK BP,15
BYPASS FRESH MARKET,558010,BYPASS FRESH MARKET,BYPASS FRESH MARKET,15
CANTRELLS GROCERY,243276,CANTRELLS GROCERY,CANTRELLS GROCERY,15
CAROLINA GROCERY,426231,CAROLINA GROCERY,CAROLINA GROCERY,15
CAROLINA GROCERY & CLOTHING,711081,CAROLINA GROCERY CLOTHING,CAROLINA GROCERY CLOTHING,15
CHANDLERS GROCERY,303068,CHANDLERS GROCERY,CHANDLERS GROCERY,15
CHANDLERS GROCERY,317514,CHANDLERS GROCERY,CHANDLERS GROCERY,15
COOKS EXXON,709997,COOKS EXXON,COOKS EXXON,15
COOKS GULF & GROC,578558,COOKS GULF GROC,COOKS GULF GROC,15
DAVIS GROCERY,521687,DAVIS GROCERY,DAVIS GROCERY,15
FAMILY FOOD OUTLET,488200,FAMILY FOOD OUTLET,FAMILY FOOD OUTLET,15
JARVIS PRODUCE,627545,JARVIS PRODUCE,JARVIS PRODUCE,15
KWIK SAK,603517,KWIK SAK,KWIK SAK,15
LARRY'S EXXON GAS AND GROCERIES,651649,LARRYS EXXON GAS AND GROCERIES,LARRYS EXXON GAS AND GROCERIES,15
LAUREL GENERAL STORE,558050,LAUREL GENERAL STORE,LAUREL GENERAL STORE,15
LEDFORDS GROCERY,680861,LEDFORDS GROCERY,LEDFORDS GROCERY,15
MEADOW FORK COMMUNITY STORE,591459,MEADOW FORK COMMUNITY STORE,MEADOW FORK COMMUNITY STORE,15
MINI MART,436756,MINI MART,MINI MART,15
MURRAY MOUNTAIN GROCERY & BP,304124,MURRAY MOUNTAIN GROCERY BP,MURRAY MOUNTAIN GROCERY BP,15
NORTON'S COUNTRY STORE,437040,NORTONS COUNTRY STORE,NORTONS COUNTRY STORE,15
NORTON'S GAS AND GROCERY,408838,NORTONS GAS AND GROCERY,NORTONS GAS AND GROCERY,15
NORTON'S GROCERY,294570,NORTONS GROCERY,NORTONS GROCERY,15
P & E GRO,412991,P E GRO,P E GRO,15
RAINBOWS END TROUT POND,325729,RAINBOWS END TROUT POND,RAINBOWS END TROUT POND,15
RAY-MART,448220,RAYMART,RAYMART,15
RIVERVIEW GULF & GROCERY,497109,RIVERVIEW GULF GROCERY,RIVERVIEW GULF GROCERY,15
ROADRUNNER  128,548768,ROADRUNNER,ROADRUNNER,15
SKIPPER'S GROCERY,396022,SKIPPERS GROCERY,SKIPPERS GROCERY,15
THE WORKS GEN MERCANTILE,546667,THE WORKS GEN MERCANTILE,THE WORKS GEN MERCANTILE,15
TRI COUNTY REPAIRS,530670,TRI COUNTY REPAIRS,TRI COUNTY REPAIRS,15
TRUST GENERAL STORE INC,556249,TRUST GENERAL STORE,TRUST GENERAL STORE,15
"TRUST GENERAL STORE, INC  ",240245,TRUST GENERAL STORE,TRUST GENERAL STORE,15
VARIETY STORE RETAIL,274950,VARIETY STORE RETAIL,VARIETY STORE RETAIL,15
WALNUT CASH AND CARRY INC,415357,WALNUT CASH AND CARRY,WALNUT CASH AND CARRY,15
WAYNE & LORENE'S PASTRY,365907,WAYNE LORENES PASTRY,WAYNE LORENES PASTRY,15
WHITT'S MURRAY MTN BP,465654,WHITTS MURRAY MTN BP,WHITTS MURRAY MTN BP,15
125 QUICK MART,670719,QUICK MART,QUICK MART,15
ADAMS GROCERY,424083,ADAMS GROCERY,ADAMS GROCERY,15
"ASEMPA, INC.  ",419150,ASEMPA,ASEMPA,15
AVA'S GROCERY,575223,AVAS GROCERY,AVAS GROCERY,15
BARNHILLS HARDWARE & GROCERY,545371,BARNHILLS HARDWARE GROCERY,BARNHILLS HARDWARE GROCERY,15
BE-LO  257,551755,BELO,BELO,15
BE-LO  267,673952,BELO,BELO,15
